,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,38.0,696.0,-0.04570540188944722,-0.3209582056771357,1.1782079268772434,0.0788106997236181,232.1050652346154,0.7571884068434929
std,0.0,402.2687741630795,0.7731518660545714,0.7047162046593727,0.7032325986828957,0.006027463310306102,85.58137959203651,0.16136150828933482
min,38.0,0.0,-1.0,-1.0,0.5,0.07000004,0.48289185456656014,0.051755557175117824
25%,38.0,348.0,-1.0,-1.0,0.5,0.07325859,154.48519286970804,0.7090266893112359
50%,38.0,696.0,-0.07374071,-0.60100585,0.89936876,0.07894207,258.48058641043644,0.7486294680014439
75%,38.0,1044.0,0.809584,0.24928112,1.7206149,0.08423913,307.9168755924821,0.8520740929877787
max,38.0,1392.0,1.0,1.0,2.5,0.0875,359.81581848102894,1.0
