,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,24.0,696.0,-0.19348049597257716,0.28340004635525484,1.783187017810481,0.08026436003732951,170.05896376503762,0.7558452657978514
std,0.0,402.2687741630795,0.7671667130463841,0.7175388354834357,0.7161191095414905,0.006415952390181794,91.57643391792293,0.1972519421885512
min,24.0,0.0,-1.0,-1.0,0.5,0.07000009,0.7418575824676168,0.008683774646088244
25%,24.0,348.0,-1.0,-0.4139015,1.1504905,0.07395632,111.4580397328051,0.6217652240502577
50%,24.0,696.0,-0.36017442,0.56593174,2.0633967,0.080619805,139.08972880771137,0.7758752903939542
75%,24.0,1044.0,0.4696804,1.0,2.5,0.08719868,225.0,0.9155490227971438
max,24.0,1392.0,1.0,1.0,2.5,0.0875,359.84832294612323,1.0
