,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,39.0,696.0,-0.30144257478908826,-0.786550262764178,0.717792334522613,0.07865808878248384,247.11677707711286,0.8324911616515056
std,0.0,402.2687741630795,0.7600228598733658,0.35254616119828114,0.35850709409432757,0.0060539325650242415,54.649989177980345,0.11154233800764324
min,39.0,0.0,-1.0,-1.0,0.5,0.07000009,0.8722752983018722,0.17659175944917727
25%,39.0,348.0,-1.0,-1.0,0.5,0.0727364,218.86960480492667,0.7278043676988272
50%,39.0,696.0,-0.62743485,-1.0,0.5,0.07865117,236.28958715366164,0.8238731666910057
75%,39.0,1044.0,0.26669365,-0.6733957,0.8276693,0.08470205,283.69697878212065,0.9324302014462021
max,39.0,1392.0,1.0,1.0,2.5,0.08749992,359.8172699401305,1.0
