,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,9.0,696.0,-0.30060662228180185,-0.8571277157411342,0.6428256548671931,0.07889852394472362,247.11274966130145,0.7410908395593707
std,0.0,402.2687741630795,0.49486819809624016,0.2995399639634412,0.2996006163607227,0.005474575580873778,38.530179436485355,0.17467586218838962
min,9.0,0.0,-1.0,-1.0,0.5,0.07000003,0.12188431295521696,0.04226354030347633
25%,9.0,348.0,-0.6979169,-1.0,0.5,0.0745297,227.660134457361,0.7099722867757308
50%,9.0,696.0,-0.3091214,-1.0,0.5,0.07887309,249.72395361875795,0.738394806507204
75%,9.0,1044.0,-0.067484416,-0.8798737,0.6201208,0.08374782,265.61116252372545,0.8403080920423854
max,9.0,1392.0,1.0,0.506533,2.0091262,0.0875,358.89493563307235,1.0
