,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,34.0,696.0,-0.6703353293839326,-0.6621956615947595,0.8378873152404882,0.07865229475017946,225.71214388135937,0.6911432195801233
std,0.0,402.2687741630795,0.31608367475981847,0.2513933526481046,0.25141966454771464,0.006291286206498363,18.237088013384827,0.2185791162180149
min,34.0,0.0,-1.0,-1.0,0.5,0.070000045,165.30316316851452,0.18233397996999892
25%,34.0,348.0,-1.0,-0.8447911,0.65590936,0.072184466,213.8734461488928,0.5171369790666277
50%,34.0,696.0,-0.6748134,-0.66963565,0.8309047,0.078635,224.3164875109735,0.7661715486526165
75%,34.0,1044.0,-0.41946587,-0.52933306,0.9707614,0.08518948,236.23075368929182,0.8671126914667903
max,34.0,1392.0,0.19995895,0.16173129,1.6608455,0.0875,302.956226981098,1.0
