,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,7.0,696.0,-0.0789782177000718,-0.13499360514081832,1.3640828637185929,0.07873727345154342,215.14218043669436,0.6478507194346736
std,0.0,402.2687741630795,0.5793936851708705,0.7628337428301452,0.7623525641693738,0.006290882072789759,87.75336865274714,0.22590553844797093
min,7.0,0.0,-1.0,-1.0,0.5,0.07,0.06094601658588772,0.03442118608635446
25%,7.0,348.0,-0.5544239,-0.8625411,0.6387428,0.072159484,126.36102564045666,0.5431657842540475
50%,7.0,696.0,-0.12698154,-0.31109527,1.2131968,0.078677416,250.53172422912832,0.7146391012135923
75%,7.0,1044.0,0.46209034,0.6722434,2.1732864,0.085377745,302.9371737786156,0.8171389548497768
max,7.0,1392.0,1.0,1.0,2.5,0.0875,358.68641462362365,1.0
