,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,36.0,696.0,0.2601065941488873,-0.13549104823359653,1.3514518973295047,0.07914984794400574,253.71821811636073,0.7056642280799905
std,0.0,402.2687741630795,0.7342955961690807,0.6459872995548237,0.6351068552748464,0.006289104416180416,93.99769366212017,0.1515341564099238
min,36.0,0.0,-1.0,-1.0,0.5,0.07000011,1.0309748819190077,0.06945286067066532
25%,36.0,348.0,-0.3547048,-0.6118107,0.8872448,0.07267601,159.72010336548556,0.6555287537264097
50%,36.0,696.0,0.41272423,-0.3750805,1.1261828,0.07937289,294.5352353555595,0.7344001923669586
75%,36.0,1044.0,1.0,0.3084038,1.7521313,0.085616976,333.6815714852984,0.7923068773597772
max,36.0,1392.0,1.0,1.0,2.5,0.0875,359.46938067899407,1.0
