,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,32.0,696.0,-0.20105406213230437,-0.2157684812322685,1.2871848796769563,0.07873559991098349,204.95330133961662,0.8193808393198647
std,0.0,402.2687741630795,0.8184781627993694,0.792007129718139,0.7905208689808956,0.005847899402323018,91.30461378659444,0.14228229228531988
min,32.0,0.0,-1.0,-1.0,0.5,0.07000007,0.041855035044079614,0.13311805036390614
25%,32.0,348.0,-1.0,-1.0,0.5,0.07280133,139.24352039859218,0.714247861277419
50%,32.0,696.0,-0.3164151245283019,-0.43739435,1.1028962,0.07877722,225.0,0.807332125303789
75%,32.0,1044.0,0.7194346,0.62294114,2.1221516,0.084643826,273.17798466851445,0.9462900054161092
max,32.0,1392.0,1.0,1.0,2.5,0.0875,359.97507095168163,1.0
