,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,31.0,696.0,0.403454980557421,-0.39595143786870063,1.109089625240488,0.07876324620531228,250.55042235295588,0.8032429198453418
std,0.0,402.2687741630795,0.5988601487971568,0.8077759124977898,0.8091453055424389,0.005999304486644678,92.68283798580003,0.1407001110404088
min,31.0,0.0,-1.0,-1.0,0.5,0.07000033,3.7481026144805583,0.048216543380604146
25%,31.0,348.0,-0.07538396,-1.0,0.5,0.07296392,129.97089151909012,0.7228976535220127
50%,31.0,696.0,0.6679456,-0.9243726,0.5722194,0.07880479,304.6184478166696,0.8011754082484092
75%,31.0,1044.0,0.93184817,0.52412176,2.0227833,0.08458565,314.17858639503214,0.9026773739672691
max,31.0,1392.0,1.0,1.0,2.5,0.087499976,359.8885862397101,1.0
