,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,3.0,696.0,0.05099065233695621,-0.10729602423255565,1.4019231249892319,0.07878476319813352,203.94274215947772,0.8044714070222715
std,0.0,402.2687741630795,0.7600347456061467,0.8565498941792735,0.8512017162233114,0.00586577826002782,100.06200752940879,0.1228308185712796
min,3.0,0.0,-1.0,-1.0,0.5,0.07000004,0.8374449156132187,0.07504034067782907
25%,3.0,348.0,-0.6869342,-1.0,0.5,0.073448256,113.32185096341112,0.7212797812628641
50%,3.0,696.0,-0.04911961,-0.3446789,1.284276,0.07874528,216.69534308238292,0.7806857413771973
75%,3.0,1044.0,1.0,1.0,2.5,0.08420745,310.79455119288934,0.8770840879661681
max,3.0,1392.0,1.0,1.0,2.5,0.0875,359.93101868218184,1.0
