,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,44.0,696.0,0.34486529289257006,0.44224176201241927,1.9246358995190236,0.07866322526704954,105.62443511983808,0.6249493662876726
std,0.0,402.2687741630795,0.4526835190351782,0.6059934059758825,0.6092740562212876,0.006207621388406688,98.17439441087953,0.2293486331483965
min,44.0,0.0,-1.0,-1.0,0.5,0.070000075,0.07772003285197115,0.01820543706197316
25%,44.0,348.0,0.19668905,0.0757420026666666,1.5,0.0723674,49.852804633545816,0.4572266640923569
50%,44.0,696.0,0.41321835,0.61001323,2.07929,0.07854458,63.878909573092415,0.71155810576319
75%,44.0,1044.0,0.5840022,1.0,2.5,0.084935345,99.40930227776136,0.784299984787826
max,44.0,1392.0,1.0,1.0,2.5,0.08749999,359.31962976323445,1.0
