,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,33.0,696.0,0.42537942047903804,-0.1798660385081192,1.3181973756712133,0.0786508108786791,202.5741252086544,0.6770794952148246
std,0.0,402.2687741630795,0.6038614471841651,0.6331901922292545,0.6265651361881354,0.006197673477614461,126.94510206040803,0.17535561503246264
min,33.0,0.0,-1.0,-1.0,0.5,0.07000005,0.053664991005859974,0.007499507525428268
25%,33.0,348.0,0.09073465,-0.825649,0.67665786,0.072095335,45.0,0.6093933712922343
50%,33.0,696.0,0.6587455,-0.20292169,1.32389,0.078714944,270.4929335665486,0.7135015169385557
75%,33.0,1044.0,1.0,0.3185864,1.7999196,0.08477517,314.63061418824935,0.7839573620613847
max,33.0,1392.0,1.0,1.0,2.5,0.08749937,359.9242427050387,1.0
