,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,11.0,696.0,0.049261557223839916,0.22493973688643212,1.723111865936827,0.07912263481694186,166.09688306522702,0.6644513680301142
std,0.0,402.2687741630795,0.6437467517428318,0.7248985208701648,0.7251636831984036,0.006131379489157187,103.54641917727533,0.23379996880112341
min,11.0,0.0,-1.0,-1.0,0.5,0.07000069,0.1316218104013842,0.007912882117869287
25%,11.0,348.0,-0.48688096,-0.33793637,1.165324,0.073360726,93.89298626327309,0.5748774831403057
50%,11.0,696.0,0.003905448,0.33930627,1.8386314,0.079396896,128.06124847275055,0.7253457628931226
75%,11.0,1044.0,0.6489678,1.0,2.5,0.085048094,286.47850898086574,0.8233112694598664
max,11.0,1392.0,1.0,1.0,2.5,0.0875,359.02422002775427,1.0
