,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,29.0,696.0,-0.23371514548295041,-0.054145771054601576,1.446197230488155,0.07883309450538406,189.15697549740912,0.6847847359107452
std,0.0,402.2687741630795,0.681157228176383,0.7027535915203992,0.700775537791485,0.005774751892002025,91.19856269373163,0.19608625783667163
min,29.0,0.0,-1.0,-1.0,0.5,0.07000002,0.2366279723167395,0.022361185608018398
25%,29.0,348.0,-1.0,-0.76406693,0.735357,0.07380756,132.0469465764669,0.6074973698752829
50%,29.0,696.0,-0.2478222,0.0094756339999999,1.5,0.07888988,178.73336340938226,0.7125750236887326
75%,29.0,1044.0,0.29501304,0.5362728,2.0340729,0.08401453,272.90108122784693,0.8162389734672346
max,29.0,1392.0,1.0,1.0,2.5,0.08749993,358.99060691102045,1.0
