,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,4.0,696.0,-0.35308911848406316,-0.6801861667266331,0.8219744708614501,0.07877752434673367,223.81866321315346,0.7164652656208449
std,0.0,402.2687741630795,0.610606366229739,0.44226027977531507,0.4447512831743808,0.006634353619281437,71.85379138489857,0.25377044701230983
min,4.0,0.0,-1.0,-1.0,0.5,0.07,1.3451105554525498,0.04573462744875631
25%,4.0,348.0,-0.89724857,-1.0,0.5,0.07224549,220.38703333185396,0.6169320438546585
50%,4.0,696.0,-0.46316284,-0.9890055,0.5113617,0.07906133,228.67928677591928,0.7304678321430725
75%,4.0,1044.0,0.12562801,-0.43880442,1.0601771,0.08535314,261.9079187930902,0.9429632123420536
max,4.0,1392.0,1.0,0.9023524,2.4037817,0.0875,359.18145992283735,1.0
