,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,30.0,696.0,-0.320895883551005,-0.34333148904953337,1.1536195856424982,0.07873173171643934,218.07821418166372,0.6197950625574916
std,0.0,402.2687741630795,0.49409512049724486,0.60001504237666,0.596400650265746,0.006638014608836546,66.05060172002322,0.16779988497304427
min,30.0,0.0,-1.0,-1.0,0.5,0.07000013,17.072539886925597,0.06659900547844426
25%,30.0,348.0,-0.94433224,-1.0,0.5,0.071570516,177.56500664001942,0.5182105670808972
50%,30.0,696.0,-0.20400266,-0.41640243,1.0827483,0.07851105,233.29067619933824,0.7073845023067203
75%,30.0,1044.0,0.07032128,0.0420442900666666,1.5,0.08597085,271.1217017793162,0.7153704047480648
max,30.0,1392.0,0.72230023,1.0,2.5,0.08749999,334.074927039997,0.960531893182366
