,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,20.0,696.0,0.03261166890732231,-0.2931689045517229,1.2054716189375447,0.07902326659009332,233.37781996520897,0.7310656654013887
std,0.0,402.2687741630795,0.8098199225118016,0.6314821900433528,0.6286480881825534,0.006281459602137053,95.59239003370239,0.18969737321445773
min,20.0,0.0,-1.0,-1.0,0.5,0.070000075,0.29479709484053274,0.015286681971098892
25%,20.0,348.0,-0.963799,-0.8581585,0.64137834,0.07262635,166.34703839656913,0.7037808551216103
50%,20.0,696.0,0.11769,-0.4312546,1.0690507,0.07911793,251.09319890525046,0.7380204144125148
75%,20.0,1044.0,0.9023181,0.13372283,1.5779033,0.085142314,315.0,0.8544811230112517
max,20.0,1392.0,1.0,1.0,2.5,0.08749975,359.96414862882625,1.0
