,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,12.0,696.0,-0.15458929508610197,-0.24234075576147884,1.2540335156568558,0.07898611892175161,225.79982268981436,0.5292474208275959
std,0.0,402.2687741630795,0.5987298977424959,0.4729752130136121,0.4696969773099767,0.006173130921193072,82.31027313080726,0.22832124466425008
min,12.0,0.0,-1.0,-1.0,0.5,0.070000045,0.560690490258537,0.015658647599575228
25%,12.0,348.0,-0.97365475,-0.64236504,0.8559441,0.07263916,168.9723444796242,0.33166427375815233
50%,12.0,696.0,-0.01078175,-0.22551267,1.274643,0.07931737,253.4346652540026,0.5736804031532472
75%,12.0,1044.0,0.3495832,0.11233077,1.5587791,0.085010074,295.91540820121554,0.7126491694410405
max,12.0,1392.0,1.0,1.0,2.5,0.08749999,359.4283412781152,1.0
