,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,28.0,696.0,0.3457731087552046,-0.5250734403063173,0.9801554405599426,0.07897342141493181,274.49176021026636,0.7496015115723272
std,0.0,402.2687741630795,0.772088804858766,0.4549253452767965,0.45625791391861104,0.006200475453231993,75.93331289629994,0.19236829445726186
min,28.0,0.0,-1.0,-1.0,0.5,0.07000006,0.07675229552557994,0.044324040450645856
25%,28.0,348.0,-0.30561417,-0.99052566,0.5,0.07283175,221.03890595965402,0.7075143499869259
50%,28.0,696.0,0.7087571,-0.5724425,0.9277081,0.079260334,309.7042158668012,0.7609667511227544
75%,28.0,1044.0,1.0,-0.24682878,1.3019234,0.084945284,325.11913039390936,0.8775027937324216
max,28.0,1392.0,1.0,1.0,2.5,0.0875,359.8642029313761,1.0
