,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,47.0,696.0,-0.3732470705137115,-0.33712793122699214,1.1762728464608758,0.07907826304666188,212.07040909480406,0.6973499685092653
std,0.0,402.2687741630795,0.6398512102925188,0.6048354774355919,0.6225497651420066,0.006653055786000147,68.30692986681629,0.16597170594954108
min,47.0,0.0,-1.0,-1.0,0.5,0.07000002,10.348889713019616,0.10448477290672788
25%,47.0,348.0,-1.0,-0.92220596,0.59314525,0.071783945,178.3045936186702,0.6464391010786785
50%,47.0,696.0,-0.56391084,-0.49060944,1.0096085,0.07970605,209.2492256677476,0.7138103886052969
75%,47.0,1044.0,0.12361296,0.0295990629302325,1.5,0.086094074,250.1037379336337,0.8000419185045868
max,47.0,1392.0,1.0,1.0,2.5,0.0875,344.5145954117176,1.0
