,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,14.0,696.0,-0.7009667828613066,-0.13589019100179467,1.365383094982053,0.07860573202440775,191.8937804067401,0.7232812859849993
std,0.0,402.2687741630795,0.4244771930643377,0.6400040781499239,0.6398107358239027,0.006100978895160023,53.17234627839314,0.1627108836909969
min,14.0,0.0,-1.0,-1.0,0.5,0.07,7.824048712159993,0.09323389743513703
25%,14.0,348.0,-1.0,-0.6544496,0.8455381,0.07268336,157.04896501391192,0.6576758782930698
50%,14.0,696.0,-0.8879401,-0.1234776,1.3957825,0.07845605,190.6837976294421,0.7396732510629271
75%,14.0,1044.0,-0.5194956,0.36439013,1.8656902,0.08475499,225.0,0.8093048457334295
max,14.0,1392.0,0.96046436,1.0,2.5,0.087499596,359.64771113250237,1.0
