,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,43.0,696.0,-0.0224047907662168,-0.37375843356547017,1.125558552591529,0.07864923793251974,234.22745922345484,0.78763631338286
std,0.0,402.2687741630795,0.7149380706010966,0.791112350691627,0.7880051867195782,0.006221604767893404,81.87237588278371,0.13352900826238737
min,43.0,0.0,-1.0,-1.0,0.5,0.07000003,0.3284395482713194,0.15523150407644462
25%,43.0,348.0,-0.6822738,-1.0,0.5,0.07242633,154.62385641459923,0.7143987888676092
50%,43.0,696.0,-0.042200927,-1.0,0.5,0.07870691,260.33329956605917,0.750871480109525
75%,43.0,1044.0,0.61961454,0.36097646,1.8257084,0.084903516,301.72535733878453,0.8676942619650772
max,43.0,1392.0,1.0,1.0,2.5,0.087499954,358.82603524945466,1.0
