,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,41.0,696.0,0.24163077396051685,0.12279816577494614,1.6160050513998565,0.07872316926920316,181.15542115277222,0.8009562941274239
std,0.0,402.2687741630795,0.8652499234291788,0.7313341349000708,0.7287945897989854,0.005856371848857757,121.6311695711129,0.19110328834475157
min,41.0,0.0,-1.0,-1.0,0.5,0.0700001,0.14928744735738064,0.02809405382405509
25%,41.0,348.0,-0.8721534,-0.60184205,0.898602,0.073636785,116.47553516811269,0.7085199425838236
50%,41.0,696.0,0.85315305,0.1679271,1.526067,0.07863374,142.6840455712454,0.8263874373877665
75%,41.0,1044.0,1.0,0.87789106,2.3769975,0.0840883,315.0,0.9796782039577346
max,41.0,1392.0,1.0,1.0,2.5,0.0875,359.85937147613805,1.0
