,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,35.0,696.0,0.23145457348391957,-0.5197001734932124,1.0105243194400573,0.0788435058729361,239.53974096350137,0.7779575188417204
std,0.0,402.2687741630795,0.7930477247754544,0.5444709623512256,0.5544405975514175,0.005963129002758943,98.51708288085038,0.13776784519155558
min,35.0,0.0,-1.0,-1.0,0.5,0.07000006,0.019570981024060075,0.22534357945967676
25%,35.0,348.0,-0.61338425,-1.0,0.5,0.0729266,196.96935147763875,0.7093926271087941
50%,35.0,696.0,0.44635114,-0.6830626,0.82836413,0.078852214,265.07656558627696,0.7533524213877066
75%,35.0,1044.0,1.0,-0.16018362,1.5,0.08470751,315.0,0.8598856219644126
max,35.0,1392.0,1.0,1.0,2.5,0.08749997,359.8871597406917,1.0
