,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,37.0,696.0,0.4472080259982053,-0.9695876345599426,0.5303081980832735,0.07866377753697057,290.951820603231,0.8207494585144653
std,0.0,402.2687741630795,0.4840277627319013,0.11016129890200817,0.10963854943211314,0.007275578190582211,24.31607796601977,0.13983099505735658
min,37.0,0.0,-1.0,-1.0,0.5,0.070000015,181.22517583522435,0.2739504064820011
25%,37.0,348.0,-0.029167531,-1.0,0.5,0.070838444,268.3026434298886,0.730894252794217
50%,37.0,696.0,0.604094,-1.0,0.5,0.07770888,301.13791732883476,0.8254425732946694
75%,37.0,1044.0,0.82860285,-1.0,0.5,0.08661639,309.72573409226294,0.9183089575486352
max,37.0,1392.0,1.0,-0.021386612,1.46879,0.0875,315.0,1.0
