,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1391.0,1391.0,1391.0,1391.0,1391.0,1391.0,1391.0,1391.0
mean,45.0,697.0,-0.3076749507066858,-0.6334466686368799,0.8664791307836088,0.07885919962832495,242.97939490669566,0.7611622615218132
std,0.0,401.69142385667135,0.6754795059383946,0.48384630310312954,0.4823760053586894,0.005890540823639806,50.37477152413435,0.11637341078297232
min,45.0,2.0,-1.0,-1.0,0.5,0.07,135.0,0.24124731979290595
25%,45.0,349.5,-1.0,-1.0,0.5,0.073776077,203.25838930323636,0.7090427079856576
50%,45.0,697.0,-0.3733091,-0.9199316,0.58087623,0.07892692,246.3008411604851,0.7277879790537906
75%,45.0,1044.5,0.11883358438888884,-0.354788675,1.1498933,0.084347293,276.91099490802367,0.809463989940383
max,45.0,1392.0,1.0,1.0,2.5,0.0875,351.1038650314172,1.0
