,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,2.0,696.0,0.25796269712726494,-0.3045411099929648,1.1940244457142857,0.07884322808399138,226.35367328641456,0.7991438285320206
std,0.0,402.2687741630795,0.7200918332286735,0.799982356582222,0.797973176675689,0.006645814680522069,101.17824901349609,0.1409418354792367
min,2.0,0.0,-1.0,-1.0,0.5,0.07,0.7563425731298139,0.012174174013088537
25%,2.0,348.0,-0.2431213537166667,-1.0,0.5,0.0712915,121.02306291649614,0.716987213048187
50%,2.0,696.0,0.36049113,-0.6827357,0.81991076,0.0787656,279.5969954061909,0.797241611372064
75%,2.0,1044.0,1.0,0.45424956,1.9321613,0.08639719,313.9044647144445,0.8905251051902359
max,2.0,1392.0,1.0,1.0,2.5,0.0875,355.9786962710516,1.0
