,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,16.0,696.0,0.11217533602702803,0.08681516837824843,1.5762419716726488,0.07882162302010051,169.86806304991416,0.6632194922011275
std,0.0,402.2687741630795,0.6899302582713777,0.673872540040552,0.6705375809341926,0.006197797514731671,110.82864067360171,0.18693638297350532
min,16.0,0.0,-1.0,-1.0,0.5,0.07000001,0.19807314398696008,0.08982671429094025
25%,16.0,348.0,-0.37820747,-0.5185567,0.9816002,0.07242609,74.21843520395373,0.5456558072012154
50%,16.0,696.0,0.051363185,0.20629685,1.5845969,0.07912508,147.8738135418157,0.7112301653196033
75%,16.0,1044.0,0.82499206,0.6694129,2.1519716,0.08521223,266.82546164039695,0.7705658611302886
max,16.0,1392.0,1.0,1.0,2.5,0.0875,359.95448259507674,1.0
