,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,1.0,696.0,0.24112159858586504,-0.13552592909332378,1.3661042767982772,0.07867011283129936,236.69793619519635,0.6482574826995336
std,0.0,402.2687741630795,0.6139985696614931,0.6749877194282365,0.6746115481428472,0.0061063554403537725,107.23207426600976,0.18450638457711432
min,1.0,0.0,-1.0,-1.0,0.5,0.0700001,0.6111694327068449,0.04981144429142541
25%,1.0,348.0,-0.2855951157142857,-0.6662229,0.83434916,0.072514385,131.0009327636633,0.5278810744194193
50%,1.0,696.0,0.35170397,-0.29678735,1.2033912,0.07876318,290.13381881889336,0.7084894802959865
75%,1.0,1044.0,0.7786964,0.31636328,1.8087307,0.0849235,325.4723590514657,0.7687427484608391
max,1.0,1392.0,1.0,1.0,2.5,0.08749998,359.61957829888826,1.0
