,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,5.0,696.0,0.3799623654895909,-0.3514101819686576,1.1715227075305097,0.07888826944723619,240.19052216419993,0.812226892015138
std,0.0,402.2687741630795,0.6858722522137921,0.7774986838941409,0.7734163944377095,0.006814221462001279,103.12540463766405,0.10631317528300327
min,5.0,0.0,-1.0,-1.0,0.5,0.070001155,0.018034402112277803,0.15829281779421864
25%,5.0,348.0,-0.25046337,-1.0,0.5,0.07130934,129.8835152817005,0.7274641314793304
50%,5.0,696.0,0.6666884,-0.719187215,0.8157914,0.079165354,293.6743440848538,0.7915455747056078
75%,5.0,1044.0,1.0,0.29135397,1.7543932,0.08663149,315.0,0.8687188252712386
max,5.0,1392.0,1.0,1.0,2.5,0.0875,359.9549705663104,1.0
