,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,42.0,696.0,0.23387043519705678,-0.19486087325134602,1.294374094867193,0.07886039976453697,214.18865287526543,0.8081024247650874
std,0.0,402.2687741630795,0.8673470763079543,0.7135659653873567,0.7002839413071089,0.006397278338429314,112.60451258821568,0.1536273575669464
min,42.0,0.0,-1.0,-1.0,0.5,0.07000012,0.11375273113623052,0.12604226971589216
25%,42.0,348.0,-0.86644524,-1.0,0.5,0.072323136,132.64419757015548,0.7216593715048775
50%,42.0,696.0,0.80097014,-0.22982852,1.3384151,0.079005286,222.00827517633482,0.8159429120829089
75%,42.0,1044.0,1.0,0.31825697,1.7137069,0.08522325,313.18417378416996,0.9338109975634362
max,42.0,1392.0,1.0,1.0,2.5,0.08749927,359.8632558374982,1.0
