,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,6.0,696.0,-0.021460075969633903,-0.5395176264154631,0.9651959224335966,0.08012036168700647,222.81617455154299,0.7135234479897873
std,0.0,402.2687741630795,0.677764691084153,0.5730332318091851,0.5729057541530372,0.00628527486435016,92.46590024671386,0.17395171035857984
min,6.0,0.0,-1.0,-1.0,0.5,0.07000001,0.5618308993620644,0.019214332087103974
25%,6.0,348.0,-0.61080945,-1.0,0.5,0.07451857,196.72248351641187,0.6762954856425493
50%,6.0,696.0,-0.07951568,-0.8833259,0.6131952,0.0809225,242.05894838306347,0.7296787223095228
75%,6.0,1044.0,0.5797629,-0.11595816,1.437401,0.08676109,287.154023780486,0.8065819335897265
max,6.0,1392.0,1.0,1.0,2.5,0.0875,359.99364213916897,1.0
