,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,22.0,696.0,-0.04961764601825127,-0.5318370965425628,0.9705092178894471,0.07882367825556352,234.01703122637116,0.7344509506947128
std,0.0,402.2687741630795,0.7184878168371616,0.5616343039787675,0.5630668494319961,0.0065627794040819965,85.06748533198314,0.13704740832597656
min,22.0,0.0,-1.0,-1.0,0.5,0.07,1.1887107574467564,0.015860259994594367
25%,22.0,348.0,-0.9116087,-1.0,0.5,0.0722122,187.07356799874364,0.7075052416971366
50%,22.0,696.0,0.0592762283870967,-0.84253985,0.6576088,0.0784375,264.3511987744899,0.7183490916729138
75%,22.0,1044.0,0.59917027,-0.091746196,1.46446,0.08547191,284.41086223888203,0.7975826079900995
max,22.0,1392.0,1.0,1.0,2.5,0.0875,359.4974817161306,1.0
