,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,23.0,696.0,-0.030397180674099064,-0.12664163753184493,1.3732077172361807,0.07887285400071786,197.49949123568018,0.5539711252071248
std,0.0,402.2687741630795,0.4279631658560064,0.7078772250029538,0.7078168372167711,0.00636585848102246,92.44673609096174,0.20857609515946707
min,23.0,0.0,-1.0,-1.0,0.5,0.07000002,0.845608652101248,0.03789573118037852
25%,23.0,348.0,-0.30380654,-0.84891546,0.6506798,0.072390385,109.42424765926,0.3702785139923793
50%,23.0,696.0,-0.074036136,-0.21564935,1.2856245,0.079089835,238.96309140176058,0.6340115075926357
75%,23.0,1044.0,0.2403211,0.45903203,1.9568473,0.0853177,267.9573835712743,0.7158530264664977
max,23.0,1392.0,1.0,1.0,2.5,0.08749999,357.0766903999306,0.9986666912335065
