,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,27.0,696.0,-0.010447162181478824,-0.3400653609983489,1.1618803351687006,0.07872114847954056,224.53988547158437,0.8232183295434123
std,0.0,402.2687741630795,0.7190649888253531,0.8615710866815729,0.856526775663897,0.006553630138238882,85.78737827071055,0.09707064019838776
min,27.0,0.0,-1.0,-1.0,0.5,0.07000006,0.44566972756422274,0.3792318463067585
25%,27.0,348.0,-0.830661,-1.0,0.5,0.07210953,139.70080624621937,0.7320688863966838
50%,27.0,696.0,0.16115952,-1.0,0.5,0.07878915,261.5551577207047,0.80650778850402
75%,27.0,1044.0,0.60577327,0.7452639,2.22941,0.08533039,297.7125404074507,0.9035352650043563
max,27.0,1392.0,1.0,1.0,2.5,0.0875,357.9766314978526,1.0
