,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,25.0,696.0,0.15323485121005023,-0.3338095925251256,1.1748812419669776,0.07892158949676956,229.85323564762325,0.6809676908888165
std,0.0,402.2687741630795,0.7878059852385326,0.5111847970732707,0.5097386377077556,0.006158282666152704,106.11392859170995,0.2107778411463936
min,25.0,0.0,-1.0,-1.0,0.5,0.070000015,0.2743920016987431,0.004328064572174775
25%,25.0,348.0,-0.94802266,-0.8052656,0.69508845,0.072782665,178.17920100713445,0.6146864602196376
50%,25.0,696.0,0.42262706,-0.36968505,1.1494247,0.07891203,260.6062199256775,0.7161266368607191
75%,25.0,1044.0,0.925011,0.0216789266666666,1.5,0.085057944,311.4318916487498,0.8272173866497728
max,25.0,1392.0,1.0,1.0,2.5,0.0875,359.8757885882391,1.0
