,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,18.0,696.0,0.31507973963869346,0.24725760032735825,1.7434114083991386,0.07873847282268485,137.32089348362516,0.7799965479213533
std,0.0,402.2687741630795,0.6973998149910169,0.7934588703278427,0.7931070333309627,0.006105282431058728,110.57360346089528,0.17147437499779833
min,18.0,0.0,-1.0,-1.0,0.5,0.070000045,0.0124224054776505,0.05931305440221781
25%,18.0,348.0,-0.1840594,-0.57227814,0.93034226,0.07258299,45.0,0.7138288178258693
50%,18.0,696.0,0.51793545,0.5376143,2.0391989,0.078778975,93.10169281564436,0.7804642774741718
75%,18.0,1044.0,1.0,1.0,2.5,0.08486245,231.80365762783032,0.8820155603145223
max,18.0,1392.0,1.0,1.0,2.5,0.08749993,359.8598019764103,1.0
