subject_id,valence_mean,valence_max,valence_median,valence_min,valence_std,arousal_mean,arousal_max,arousal_median,arousal_min,arousal_std
sub-001,0.24112159858586504,1.0,0.35170397,-1.0,0.613998569661493,-0.13552592909332375,1.0,-0.29678735,-1.0,0.6749877194282368
sub-002,0.2579626971272649,1.0,0.36049113,-1.0,0.7200918332286729,-0.3045411099929648,1.0,-0.6827357,-1.0,0.7999823565822215
sub-003,0.05099065233695621,1.0,-0.04911961,-1.0,0.760034745606147,-0.10729602423255563,1.0,-0.3446789,-1.0,0.8565498941792739
sub-004,-0.35308911848406316,1.0,-0.46316284,-1.0,0.610606366229739,-0.6801861667266332,0.9023524,-0.9890055,-1.0,0.4422602797753148
sub-005,0.3799623654895908,1.0,0.6666884,-1.0,0.6858722522137921,-0.3514101819686576,1.0,-0.719187215,-1.0,0.7774986838941411
sub-006,-0.021460075969633882,1.0,-0.07951568,-1.0,0.6777646910841529,-0.5395176264154631,1.0,-0.8833259,-1.0,0.5730332318091848
sub-007,-0.0789782177000718,1.0,-0.12698154,-1.0,0.5793936851708703,-0.13499360514081837,1.0,-0.31109527,-1.0,0.7628337428301453
sub-009,-0.3006066222818019,1.0,-0.3091214,-1.0,0.4948681980962402,-0.8571277157411342,0.506533,-1.0,-1.0,0.29953996396344107
sub-011,0.04926155722383991,1.0,0.003905448,-1.0,0.6437467517428318,0.22493973688643218,1.0,0.33930627,-1.0,0.7248985208701648
sub-012,-0.15458929508610195,1.0,-0.01078175,-1.0,0.598729897742496,-0.24234075576147884,1.0,-0.22551267,-1.0,0.4729752130136123
sub-014,-0.7009667828613065,0.96046436,-0.8879401,-1.0,0.4244771930643379,-0.1358901910017947,1.0,-0.1234776,-1.0,0.6400040781499245
sub-015,0.18774671890611627,1.0,0.70001507,-1.0,0.8561297837850498,-0.6943825454841314,0.6551315,-1.0,-1.0,0.42706780985397774
sub-016,0.11217533602702799,1.0,0.051363185,-1.0,0.6899302582713772,0.08681516837824839,1.0,0.20629685,-1.0,0.6738725400405525
sub-017,0.05753537651080402,1.0,0.070684806,-1.0,0.5873060034371498,0.12965906798133525,1.0,0.2702653366666667,-1.0,0.7601060417778152
sub-018,0.31507973963869346,1.0,0.51793545,-1.0,0.697399814991017,0.24725760032735822,1.0,0.5376143,-1.0,0.7934588703278425
sub-019,-0.25881382307961953,1.0,-0.33299536,-1.0,0.7012071949919754,-0.12045158076450108,1.0,-0.1735003,-1.0,0.6726375282769113
sub-020,0.032611668907322325,1.0,0.11769,-1.0,0.8098199225118016,-0.2931689045517229,1.0,-0.4312546,-1.0,0.6314821900433532
sub-021,-0.22048968489989232,1.0,-0.25809064,-1.0,0.7107177503719149,0.07947952538083274,1.0,0.1664481572000001,-1.0,0.7678445461789354
sub-022,-0.04961764601825126,1.0,0.0592762283870967,-1.0,0.7184878168371613,-0.5318370965425628,1.0,-0.84253985,-1.0,0.5616343039787678
sub-023,-0.030397180674099064,1.0,-0.074036136,-1.0,0.4279631658560064,-0.12664163753184493,1.0,-0.21564935,-1.0,0.7078772250029537
sub-024,-0.19348049597257716,1.0,-0.36017442,-1.0,0.7671667130463834,0.28340004635525484,1.0,0.56593174,-1.0,0.7175388354834359
sub-025,0.15323485121005026,1.0,0.42262706,-1.0,0.7878059852385323,-0.3338095925251256,1.0,-0.36968505,-1.0,0.5111847970732704
sub-026,-0.42539990602936106,1.0,-1.0,-1.0,0.7927607326244848,-0.15734532522468053,1.0,-0.111623322,-1.0,0.5433625122244019
