,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,19.0,696.0,-0.25881382307961953,-0.12045158076450108,1.3678005114931802,0.07875433276381909,198.77915080577804,0.6864504002411222
std,0.0,402.2687741630795,0.7012071949919748,0.6726375282769115,0.6634491711892079,0.006319007179972582,87.37512575300603,0.2031983774796455
min,19.0,0.0,-1.0,-1.0,0.5,0.07,0.06439940345887862,0.06517351228317886
25%,19.0,348.0,-0.935966,-0.77783585,0.72283506,0.07243446,140.0215577242128,0.5893163043911168
50%,19.0,696.0,-0.33299536,-0.1735003,1.3498161,0.07855893,205.88659786619007,0.7237959936497965
75%,19.0,1044.0,0.15896752,0.4766632,1.9398227,0.08533717,256.3518090726656,0.8167736272430456
max,19.0,1392.0,1.0,1.0,2.5,0.08749981,359.793560071088,1.0
