,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,15.0,696.0,0.18774671890611627,-0.6943825454841314,0.8079833649605167,0.07888600660301508,260.32729454714456,0.8338739371454867
std,0.0,402.2687741630795,0.8561297837850503,0.4270678098539777,0.4293317125759132,0.006315670267569313,75.73969781294625,0.14394830949728166
min,15.0,0.0,-1.0,-1.0,0.5,0.070000194,0.04041016800977104,0.0496857961457428
25%,15.0,348.0,-1.0,-1.0,0.5,0.072169065,215.7648717054863,0.7140601728221835
50%,15.0,696.0,0.70001507,-1.0,0.5,0.07896323,296.7180254468915,0.8523219397645476
75%,15.0,1044.0,1.0,-0.39879513,1.1015236,0.085601926,315.0,0.9733501147292974
max,15.0,1392.0,1.0,0.6551315,2.1543696,0.0875,359.4088265424675,1.0
