,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,26.0,696.0,-0.4253999060293612,-0.15734532522468053,1.3483709535032304,0.07865371773151472,198.167174400994,0.7388199235600745
std,0.0,402.2687741630795,0.7927607326244842,0.5433625122244018,0.5385382648430702,0.006175502522105403,80.9515506267401,0.1361777999491299
min,26.0,0.0,-1.0,-1.0,0.5,0.07000049,0.3529609707881036,0.03924526580940175
25%,26.0,348.0,-1.0,-0.5741608,0.92581844,0.07251246,167.11637035531476,0.7082226170254939
50%,26.0,696.0,-1.0,-0.111623322,1.4748013,0.078549735,188.9788573870044,0.725758302180658
75%,26.0,1044.0,0.2989332,0.17392078,1.6408435,0.08485833,228.10330976068744,0.8051359063059602
max,26.0,1392.0,1.0,1.0,2.5,0.0875,359.92114575920306,1.0
