,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,17.0,696.0,0.057535376510804016,0.12965906798133525,1.6263796813711415,0.07901414098061738,169.92003570732325,0.6644687851542204
std,0.0,402.2687741630795,0.58730600343715,0.7601060417778155,0.7580527604596579,0.006049735726766775,104.28811889348673,0.17197948461878418
min,17.0,0.0,-1.0,-1.0,0.5,0.07000003,0.8702005122448782,0.01687890700988198
25%,17.0,348.0,-0.375916275,-0.6038759,0.90025556,0.07333272,80.44583077074299,0.633738199706128
50%,17.0,696.0,0.070684806,0.2702653366666667,1.7166318,0.079106085,140.00067219478302,0.7160460505827877
75%,17.0,1044.0,0.46146858,0.90201086,2.4018404,0.0849999,271.2557052703015,0.7635078630586417
max,17.0,1392.0,1.0,1.0,2.5,0.0875,359.56420459955365,1.0
