,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,61290.0,61290.0,61290.0,61290.0,61290.0,61290.0,61290.0,61290.0
mean,24.93116332191222,696.0226953826073,-0.01912816703296191,-0.27229037463411515,1.228188991044216,0.07886997358402675,215.27898333972928,0.7321185150233029
std,13.514815585313501,402.11457289766213,0.7402701835545229,0.7214190614058273,0.7186938181556419,0.006229154855942261,94.99426024597885,0.18833749824620052
min,1.0,0.0,-1.0,-1.0,0.5,0.07,0.0124224054776505,0.004328064572174775
25%,14.25,348.0,-0.7798919375,-1.0,0.5,0.07263809625,141.9271251159172,0.7071385379150935
50%,25.0,696.0,-0.0355343125,-0.4663433,1.04086225,0.07890127499999999,229.87338533815085,0.7385225528415804
75%,36.0,1044.0,0.71589925,0.3009234725,1.7748812250000001,0.08514199125,299.98201777393297,0.8526350788034955
max,47.0,1392.0,1.0,1.0,2.5,0.0875,359.99364213916897,1.0
