subject_id,n_samples,valence_n,valence_pct_missing,valence_mean,valence_median,valence_std,valence_min,valence_max,valence_q25,valence_q75,valence_iqr,valence_skew,valence_kurtosis,valence_n_outliers_iqr,arousal_n,arousal_pct_missing,arousal_mean,arousal_median,arousal_std,arousal_min,arousal_max,arousal_q25,arousal_q75,arousal_iqr,arousal_skew,arousal_kurtosis,arousal_n_outliers_iqr,vector_length_n,vector_length_pct_missing,vector_length_mean,vector_length_median,vector_length_std,vector_length_min,vector_length_max,vector_length_q25,vector_length_q75,vector_length_iqr,vector_length_skew,vector_length_kurtosis,vector_length_n_outliers_iqr,angle_n,angle_pct_missing,angle_circ_mean_deg,angle_circ_std_deg,angle_resultant_length_R,angle_min,angle_max
sub-001,1393,1393,0.0,0.24112159858586504,0.35170397,0.6139985696614931,-1.0,1.0,-0.2855951157142857,0.7786964,1.0642915157142856,-0.3891217107389771,-1.0335475187756302,0,1393,0.0,-0.13552592909332378,-0.29678735,0.6749877194282365,-1.0,1.0,-0.6662229,0.31636328,0.98258618,0.5105660814665405,-1.0175866892920624,0,1393,0.0,0.6482574826995336,0.7084894802959865,0.18450638457711432,0.04981144429142541,1.0,0.5278810744194193,0.7687427484608391,0.24086167404141978,-0.7593795951171118,-0.12788595833597327,4,1393,0.0,331.1831314686899,84.95500259138593,0.33311561974054715,0.6111694327068449,359.61957829888826
sub-002,1393,1393,0.0,0.25796269712726494,0.36049113,0.7200918332286735,-1.0,1.0,-0.2431213537166667,1.0,1.2431213537166668,-0.5376365191069363,-1.113122262620386,0,1393,0.0,-0.3045411099929648,-0.6827357,0.799982356582222,-1.0,1.0,-1.0,0.45424956,1.45424956,0.7085572983081803,-1.169794618784307,0,1393,0.0,0.7991438285320206,0.797241611372064,0.1409418354792367,0.012174174013088537,1.0,0.716987213048187,0.8905251051902359,0.17353789214204884,-1.143312557750436,3.177987380251656,46,1393,0.0,310.9437260923621,89.8783069457614,0.2921854657888908,0.7563425731298139,355.9786962710516
sub-003,1393,1393,0.0,0.05099065233695621,-0.04911961,0.7600347456061467,-1.0,1.0,-0.6869342,1.0,1.6869342,0.04680710877079508,-1.540620199938952,0,1393,0.0,-0.10729602423255565,-0.3446789,0.8565498941792735,-1.0,1.0,-1.0,1.0,2.0,0.23396273303543577,-1.691934620966954,0,1393,0.0,0.8044714070222715,0.7806857413771973,0.1228308185712796,0.07504034067782907,1.0,0.7212797812628641,0.8770840879661681,0.15580430670330403,-0.9631829958102547,4.687682834618173,27,1393,0.0,295.6295754000078,136.63445023604476,0.05822460825606568,0.8374449156132187,359.93101868218184
sub-004,1393,1393,0.0,-0.35308911848406316,-0.46316284,0.610606366229739,-1.0,1.0,-0.89724857,0.12562801,1.0228765800000001,0.6331414839330154,-0.8308287842492197,0,1393,0.0,-0.6801861667266331,-0.9890055,0.44226027977531507,-1.0,0.9023524,-1.0,-0.43880442,0.56119558,1.2367794918046173,0.40056063120679264,28,1393,0.0,0.7164652656208449,0.7304678321430725,0.25377044701230983,0.04573462744875631,1.0,0.6169320438546585,0.9429632123420536,0.3260311684873951,-0.880494127266948,-0.13927698087628748,46,1393,0.0,245.9468881880984,53.551421704439996,0.6461109577109706,1.3451105554525498,359.18145992283735
sub-005,1393,1393,0.0,0.3799623654895909,0.6666884,0.6858722522137921,-1.0,1.0,-0.25046337,1.0,1.25046337,-0.7198749745717216,-0.9156199611729701,0,1393,0.0,-0.3514101819686576,-0.719187215,0.7774986838941409,-1.0,1.0,-1.0,0.29135397,1.29135397,0.761617273883525,-1.050863449328981,0,1393,0.0,0.812226892015138,0.7915455747056078,0.10631317528300327,0.15829281779421864,1.0,0.7274641314793304,0.8687188252712386,0.14125469379190814,-0.24908945366778215,2.950470705664487,11,1393,0.0,317.68872978191325,75.75930352258518,0.4172074968886368,0.018034402112277803,359.9549705663104
sub-006,1393,1393,0.0,-0.021460075969633903,-0.07951568,0.677764691084153,-1.0,1.0,-0.61080945,0.5797629,1.19057235,0.10339430743360777,-1.3344415595707924,0,1393,0.0,-0.5395176264154631,-0.8833259,0.5730332318091851,-1.0,1.0,-1.0,-0.11595816,0.88404184,1.0078823995868462,-0.17624972230341918,0,1393,0.0,0.7135234479897873,0.7296787223095228,0.17395171035857984,0.019214332087103974,1.0,0.6762954856425493,0.8065819335897265,0.13028644794717725,-1.1304462519370342,1.662091967658271,152,1393,0.0,268.3476298620415,68.77916560609712,0.4865052600733959,0.5618308993620644,359.99364213916897
sub-007,1393,1393,0.0,-0.0789782177000718,-0.12698154,0.5793936851708705,-1.0,1.0,-0.5544239,0.46209034,1.01651424,0.11567881118726114,-1.173851927829018,0,1393,0.0,-0.13499360514081832,-0.31109527,0.7628337428301452,-1.0,1.0,-0.8625411,0.6722434,1.5347845,0.3910063575910482,-1.3741850871132413,0,1393,0.0,0.6478507194346736,0.7146391012135923,0.22590553844797093,0.03442118608635446,1.0,0.5431657842540475,0.8171389548497768,0.27397317059572934,-0.9889168484937861,0.1380027302341995,66,1393,0.0,246.0577028694037,101.48975751287523,0.20829379114819546,0.06094601658588772,358.68641462362365
sub-009,1393,1393,0.0,-0.30060662228180185,-0.3091214,0.49486819809624016,-1.0,1.0,-0.6979169,-0.067484416,0.630432484,0.624638056580049,0.12760435422153416,57,1393,0.0,-0.8571277157411342,-1.0,0.2995399639634412,-1.0,0.506533,-1.0,-0.8798737,0.12012630000000002,2.3659276666431905,4.835344853407949,246,1393,0.0,0.7410908395593707,0.738394806507204,0.17467586218838962,0.04226354030347633,1.0,0.7099722867757308,0.8403080920423854,0.13033580526665467,-1.5420491623554011,3.3083404795018616,134,1393,0.0,249.9719572377995,33.529354384600275,0.8426293198826192,0.12188431295521696,358.89493563307235
sub-011,1393,1393,0.0,0.049261557223839916,0.003905448,0.6437467517428318,-1.0,1.0,-0.48688096,0.6489678,1.13584876,-0.03979486054601169,-1.1719443477028184,0,1393,0.0,0.22493973688643212,0.33930627,0.7248985208701648,-1.0,1.0,-0.33793637,1.0,1.33793637,-0.4869490463018269,-1.1471277399331383,0,1393,0.0,0.6644513680301142,0.7253457628931226,0.23379996880112341,0.007912882117869287,1.0,0.5748774831403057,0.8233112694598664,0.2484337863195607,-1.0364820616516626,0.1754144726584701,97,1393,0.0,75.62258862394958,97.83458617112302,0.2327386800335799,0.1316218104013842,359.02422002775427
sub-012,1393,1393,0.0,-0.15458929508610197,-0.01078175,0.5987298977424959,-1.0,1.0,-0.97365475,0.3495832,1.32323795,-0.26079372050416855,-1.2819548843238129,0,1393,0.0,-0.24234075576147884,-0.22551267,0.4729752130136121,-1.0,1.0,-0.64236504,0.11233077,0.7546958100000001,0.22711759879137028,-0.6128829923299377,0,1393,0.0,0.5292474208275959,0.5736804031532472,0.22832124466425008,0.015658647599575228,1.0,0.33166427375815233,0.7126491694410405,0.3809848956828882,-0.2861856216830441,-0.9912861717746302,0,1393,0.0,250.2701657744119,83.71344502023337,0.34391166787736793,0.560690490258537,359.4283412781152
