,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,46.0,696.0,-0.3019316354608543,-0.4362265973086863,1.0636446682627423,0.07867235194759513,218.53920125492783,0.7907677364200807
std,0.0,402.2687741630795,0.6601241376958547,0.7462924658007634,0.746327097540755,0.005660326722532558,70.71421127330713,0.10688594155650682
min,46.0,0.0,-1.0,-1.0,0.5,0.070000336,0.32558202581247997,0.3192342484105103
25%,46.0,348.0,-1.0,-1.0,0.5,0.07372109,164.55832602995247,0.7222930276227633
50%,46.0,696.0,-0.37300852,-0.97897375,0.52055734,0.078521006,241.67974007726676,0.7695080634117213
75%,46.0,1044.0,-0.0583946372,0.25494158,1.7609947,0.08363673,264.4591565305996,0.8369929775380436
max,46.0,1392.0,1.0,1.0,2.5,0.087499954,358.9032889386202,1.0
