,subject,timestamp,valence,arousal,flubber_frequency,flubber_amplitude,angle,vector_length
count,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0,1393.0
mean,21.0,696.0,-0.2204896848998923,0.07947952538083274,1.570096377092606,0.07869065391170137,167.4174480243171,0.7305726782851635
std,0.0,402.2687741630795,0.7107177503719155,0.7678445461789356,0.7648106806475988,0.005929175613213473,87.89093417028421,0.20178873584031068
min,21.0,0.0,-1.0,-1.0,0.5,0.07,1.1638548412457794,0.028286460762883367
25%,21.0,348.0,-1.0,-0.72011346,0.7800513,0.07308081,93.52219988993852,0.7030256855827275
50%,21.0,696.0,-0.25809064,0.1664481572000001,1.5299743,0.0787244,159.13011294167097,0.7567561636241255
75%,21.0,1044.0,0.3342399,0.83155173,2.3297358,0.08408838,236.2733551754083,0.8770015959393261
max,21.0,1392.0,1.0,1.0,2.5,0.0875,359.2493573137399,1.0
